REVIEW_ID,STORE_ID,REVIEW_DATE,RATING,REVIEW_TEXT,REVIEWER_AGE_GROUP
R063,S209,2025-12-19,4,スタッフの方がフレンドリーで、地域に密着した温かみのあるお店だと思います。,40代
R064,S188,2024-03-27,4,ATMがあるので急にお金が必要な時に助かります。手数料も安いです。,20代
R065,S058,2024-05-10,2,夕方になると弁当がほとんど品切れになっている。補充が追いついていない感じがする。,40代
R066,S005,2025-06-08,3,コーヒーは美味しいが、フードメニューのバリエーションが少ない。もっと選びたい。,20代
R067,S321,2025-02-12,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,30代
R068,S257,2025-12-10,2,駐車場がないので車で行けません。周辺にコインパーキングもなく不便です。,50代以上
R069,S438,2024-10-01,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,40代
R070,S411,2025-11-25,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,50代以上
R071,S083,2024-03-06,4,セルフレジが導入されてから、レジ待ちが減りました。スムーズに買い物できます。,40代
R072,S420,2025-12-19,3,立地は便利だけど、品揃えがもう少し充実してほしい。特にパンの種類が少ない。,40代
R073,S189,2024-02-03,1,トイレが汚いことが多い。清掃の頻度を上げてほしい。,30代
R074,S144,2024-05-01,3,基本的には満足しているが、夜間のスタッフの対応に差がある。研修を強化してほしい。,20代
R075,S046,2025-06-04,3,立地は便利だけど、品揃えがもう少し充実してほしい。特にパンの種類が少ない。,20代
R076,S250,2024-07-31,4,店員さんの対応がとても丁寧です。いつも気持ちよく買い物できます。,30代
R077,S042,2025-05-16,4,セルフレジが導入されてから、レジ待ちが減りました。スムーズに買い物できます。,20代
R078,S367,2024-04-23,1,接客態度がよくない。挨拶がないし、レジ対応も雑に感じることがある。,20代
R079,S488,2024-12-12,4,お惣菜のクオリティが高い。手作り感があって、コンビニとは思えない味です。,30代
R080,S462,2025-01-29,2,お弁当の消費期限が短い商品が多く、買うタイミングが難しい。,20代
R081,S066,2024-10-25,5,お惣菜のクオリティが高い。手作り感があって、コンビニとは思えない味です。,20代
R082,S129,2024-12-16,2,店内が狭くて、他のお客さんとすれ違うのが大変です。カートも使えない広さです。,20代
R083,S404,2025-01-04,4,イートインスペースが快適です。ちょっとした休憩に最適です。,40代
R084,S317,2025-07-26,3,立地は便利だけど、品揃えがもう少し充実してほしい。特にパンの種類が少ない。,40代
R085,S287,2025-07-09,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,20代
R086,S449,2024-02-05,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,20代
R087,S355,2025-12-01,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,20代
R088,S003,2025-12-25,1,Wi-Fiがないのが不便。休憩で使いたいのに。近くの他のコンビニにはあるのに。,30代
R089,S252,2025-07-06,5,コーヒーの品質が良くて、毎朝ここで買っています。コスパも良いです。,30代
R090,S338,2024-06-07,4,セルフレジが導入されてから、レジ待ちが減りました。スムーズに買い物できます。,20代
R091,S330,2024-03-01,5,駅から近くて便利です。通勤途中に毎日寄っています。,30代
R092,S472,2024-05-17,1,トイレが汚いことが多い。清掃の頻度を上げてほしい。,40代
R093,S475,2025-03-09,4,店員さんの対応がとても丁寧です。いつも気持ちよく買い物できます。,30代
R094,S104,2025-10-19,5,駅から近くて便利です。通勤途中に毎日寄っています。,30代
R095,S185,2025-12-26,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,20代
R096,S273,2025-08-06,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,30代
R097,S293,2025-04-29,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,30代
R098,S227,2024-10-17,1,照明が暗くて、特に夜は入りづらい雰囲気がある。防犯面でも心配です。,20代
R099,S063,2025-02-01,1,トイレが汚いことが多い。清掃の頻度を上げてほしい。,30代
R100,S248,2025-02-24,4,おにぎりの品揃えが素晴らしい。特に地域限定の具材が気に入っています。,20代
R101,S353,2025-07-04,4,季節限定のスイーツが毎回楽しみです。特に冬のチョコレート系が美味しいです。,20代
R102,S062,2025-02-19,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,20代
R103,S487,2025-02-16,2,Wi-Fiがないのが不便。休憩で使いたいのに。近くの他のコンビニにはあるのに。,50代以上
R104,S282,2024-08-27,2,夕方になると弁当がほとんど品切れになっている。補充が追いついていない感じがする。,20代
R105,S186,2025-06-17,4,店内がいつも清潔で、気持ちよく利用しています。トイレもきれいです。,20代
R106,S255,2024-08-02,2,レジが1台しか稼働していなくて、昼時は長い列ができる。改善してほしい。,30代
R107,S088,2025-07-08,5,セルフレジが導入されてから、レジ待ちが減りました。スムーズに買い物できます。,20代
R108,S002,2024-10-25,1,お弁当の消費期限が短い商品が多く、買うタイミングが難しい。,30代
R109,S376,2024-03-13,4,品揃えが豊富で助かっています。特にお弁当の種類が多いのが嬉しいです。,50代以上
R110,S133,2024-11-05,2,照明が暗くて、特に夜は入りづらい雰囲気がある。防犯面でも心配です。,20代
R111,S272,2025-11-29,3,基本的には満足しているが、夜間のスタッフの対応に差がある。研修を強化してほしい。,20代
R112,S300,2024-06-14,2,接客態度がよくない。挨拶がないし、レジ対応も雑に感じることがある。,30代
R113,S052,2024-07-03,4,イートインスペースが快適です。ちょっとした休憩に最適です。,30代
R114,S183,2024-04-17,3,立地は便利だけど、品揃えがもう少し充実してほしい。特にパンの種類が少ない。,10代
R115,S347,2024-10-05,2,トイレが汚いことが多い。清掃の頻度を上げてほしい。,30代
R116,S458,2024-07-28,5,店内がいつも清潔で、気持ちよく利用しています。トイレもきれいです。,20代
R117,S076,2025-04-07,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,30代
R118,S239,2025-06-24,5,セルフレジが導入されてから、レジ待ちが減りました。スムーズに買い物できます。,50代以上
R119,S429,2025-01-31,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,50代以上
R120,S124,2025-05-02,2,Wi-Fiがないのが不便。休憩で使いたいのに。近くの他のコンビニにはあるのに。,30代
R121,S269,2025-06-09,1,トイレが汚いことが多い。清掃の頻度を上げてほしい。,20代
R122,S126,2024-08-06,3,コーヒーは美味しいが、フードメニューのバリエーションが少ない。もっと選びたい。,40代
R123,S331,2025-08-13,4,コーヒーの品質が良くて、毎朝ここで買っています。コスパも良いです。,10代
R124,S043,2025-10-27,3,コーヒーは美味しいが、フードメニューのバリエーションが少ない。もっと選びたい。,30代
R125,S038,2025-07-02,5,ATMがあるので急にお金が必要な時に助かります。手数料も安いです。,30代
R126,S088,2024-04-22,5,おにぎりの品揃えが素晴らしい。特に地域限定の具材が気に入っています。,20代
R127,S105,2024-06-01,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,40代
R128,S121,2024-09-13,5,店内がいつも清潔で、気持ちよく利用しています。トイレもきれいです。,40代
R129,S084,2024-06-17,4,スタッフの方がフレンドリーで、地域に密着した温かみのあるお店だと思います。,40代
R130,S185,2025-10-15,2,照明が暗くて、特に夜は入りづらい雰囲気がある。防犯面でも心配です。,30代
R131,S115,2024-10-26,3,基本的には満足しているが、夜間のスタッフの対応に差がある。研修を強化してほしい。,30代
R132,S186,2025-12-14,4,季節限定のスイーツが毎回楽しみです。特に冬のチョコレート系が美味しいです。,10代
R133,S043,2024-11-25,3,立地は便利だけど、品揃えがもう少し充実してほしい。特にパンの種類が少ない。,20代
R134,S230,2025-04-13,2,駐車場がないので車で行けません。周辺にコインパーキングもなく不便です。,20代
R135,S068,2025-03-17,1,お弁当の消費期限が短い商品が多く、買うタイミングが難しい。,30代
R136,S104,2024-12-31,4,お惣菜のクオリティが高い。手作り感があって、コンビニとは思えない味です。,40代
R137,S189,2025-12-10,5,駅から近くて便利です。通勤途中に毎日寄っています。,20代
R138,S110,2024-05-14,4,品揃えが豊富で助かっています。特にお弁当の種類が多いのが嬉しいです。,50代以上
R139,S457,2025-01-26,5,宅配便の受け取りができるようになって、とても便利になりました。,50代以上
R140,S251,2024-10-05,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,40代
R141,S177,2024-04-25,3,基本的には満足しているが、夜間のスタッフの対応に差がある。研修を強化してほしい。,50代以上
R142,S141,2025-02-15,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,20代
R143,S369,2025-03-02,5,店員さんの対応がとても丁寧です。いつも気持ちよく買い物できます。,50代以上
R144,S384,2024-12-06,1,店内が狭くて、他のお客さんとすれ違うのが大変です。カートも使えない広さです。,30代
R145,S141,2025-11-27,1,夕方になると弁当がほとんど品切れになっている。補充が追いついていない感じがする。,30代
R146,S301,2024-06-22,1,夕方になると弁当がほとんど品切れになっている。補充が追いついていない感じがする。,30代
R147,S135,2024-09-18,2,接客態度がよくない。挨拶がないし、レジ対応も雑に感じることがある。,30代
R148,S327,2024-03-09,3,コーヒーは美味しいが、フードメニューのバリエーションが少ない。もっと選びたい。,20代
R149,S170,2025-03-05,4,季節限定のスイーツが毎回楽しみです。特に冬のチョコレート系が美味しいです。,40代
R150,S230,2025-09-03,1,トイレが汚いことが多い。清掃の頻度を上げてほしい。,10代
R151,S298,2025-06-17,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,40代
R152,S395,2025-05-03,5,季節限定のスイーツが毎回楽しみです。特に冬のチョコレート系が美味しいです。,50代以上
R153,S378,2025-01-07,5,お惣菜のクオリティが高い。手作り感があって、コンビニとは思えない味です。,30代
R154,S287,2025-03-20,3,立地は便利だけど、品揃えがもう少し充実してほしい。特にパンの種類が少ない。,20代
R155,S431,2025-10-14,4,新商品がいつも早く入荷されるので、新しいもの好きにはたまらない店舗です。,40代
R156,S168,2025-05-07,2,店内が狭くて、他のお客さんとすれ違うのが大変です。カートも使えない広さです。,30代
R157,S208,2024-11-01,4,店員さんの対応がとても丁寧です。いつも気持ちよく買い物できます。,40代
R158,S320,2025-01-25,3,基本的には満足しているが、夜間のスタッフの対応に差がある。研修を強化してほしい。,40代
R159,S140,2025-04-29,4,駅から近くて便利です。通勤途中に毎日寄っています。,20代
R160,S117,2025-06-06,3,コーヒーは美味しいが、フードメニューのバリエーションが少ない。もっと選びたい。,30代
R161,S466,2025-01-01,4,季節限定のスイーツが毎回楽しみです。特に冬のチョコレート系が美味しいです。,40代
R162,S305,2025-06-03,3,コーヒーは美味しいが、フードメニューのバリエーションが少ない。もっと選びたい。,40代
R163,S410,2024-05-06,2,お弁当の消費期限が短い商品が多く、買うタイミングが難しい。,20代
R164,S397,2025-03-31,2,価格が近隣のコンビニと比べて少し高い印象。もう少し安くしてほしい。,20代
R165,S365,2025-03-30,4,店員さんの対応がとても丁寧です。いつも気持ちよく買い物できます。,40代
R166,S044,2024-06-26,1,レジが1台しか稼働していなくて、昼時は長い列ができる。改善してほしい。,20代
R167,S400,2024-06-20,4,宅配便の受け取りができるようになって、とても便利になりました。,40代
R168,S261,2024-06-01,4,イートインスペースが快適です。ちょっとした休憩に最適です。,50代以上
R169,S375,2025-01-04,2,店内が狭くて、他のお客さんとすれ違うのが大変です。カートも使えない広さです。,50代以上
R170,S414,2025-06-17,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,30代
R171,S404,2025-11-09,1,トイレが汚いことが多い。清掃の頻度を上げてほしい。,40代
R172,S151,2024-08-23,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,50代以上
R173,S140,2024-03-16,2,接客態度がよくない。挨拶がないし、レジ対応も雑に感じることがある。,40代
R174,S077,2024-04-06,2,照明が暗くて、特に夜は入りづらい雰囲気がある。防犯面でも心配です。,40代
R175,S401,2024-11-15,2,お弁当の消費期限が短い商品が多く、買うタイミングが難しい。,40代
R176,S360,2025-09-06,2,照明が暗くて、特に夜は入りづらい雰囲気がある。防犯面でも心配です。,40代
R177,S232,2024-12-12,4,品揃えが豊富で助かっています。特にお弁当の種類が多いのが嬉しいです。,30代
R178,S345,2025-12-03,3,基本的には満足しているが、夜間のスタッフの対応に差がある。研修を強化してほしい。,40代
R179,S476,2024-08-06,5,宅配便の受け取りができるようになって、とても便利になりました。,20代
R180,S477,2024-09-13,3,コーヒーは美味しいが、フードメニューのバリエーションが少ない。もっと選びたい。,40代
R181,S193,2024-10-19,4,駅から近くて便利です。通勤途中に毎日寄っています。,20代
R182,S038,2025-12-31,5,店員さんの対応がとても丁寧です。いつも気持ちよく買い物できます。,40代
R183,S102,2025-04-04,4,宅配便の受け取りができるようになって、とても便利になりました。,20代
R184,S401,2025-10-02,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,30代
R185,S283,2024-10-09,3,コーヒーは美味しいが、フードメニューのバリエーションが少ない。もっと選びたい。,30代
R186,S071,2025-03-18,1,お弁当の消費期限が短い商品が多く、買うタイミングが難しい。,30代
R187,S458,2025-06-30,1,トイレが汚いことが多い。清掃の頻度を上げてほしい。,30代
R188,S394,2025-09-07,1,照明が暗くて、特に夜は入りづらい雰囲気がある。防犯面でも心配です。,50代以上
R189,S029,2025-08-21,4,ATMがあるので急にお金が必要な時に助かります。手数料も安いです。,20代
R190,S088,2025-12-01,5,駅から近くて便利です。通勤途中に毎日寄っています。,50代以上
R191,S294,2025-05-14,1,Wi-Fiがないのが不便。休憩で使いたいのに。近くの他のコンビニにはあるのに。,30代
R192,S499,2025-06-24,5,新商品がいつも早く入荷されるので、新しいもの好きにはたまらない店舗です。,30代
R193,S307,2024-12-19,1,トイレが汚いことが多い。清掃の頻度を上げてほしい。,20代
R194,S324,2024-01-24,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,30代
R195,S301,2024-11-30,3,基本的には満足しているが、夜間のスタッフの対応に差がある。研修を強化してほしい。,50代以上
R196,S319,2024-06-30,5,宅配便の受け取りができるようになって、とても便利になりました。,50代以上
R197,S413,2024-02-11,2,夕方になると弁当がほとんど品切れになっている。補充が追いついていない感じがする。,40代
R198,S093,2024-08-09,3,コーヒーは美味しいが、フードメニューのバリエーションが少ない。もっと選びたい。,20代
R199,S006,2024-06-10,2,レジが1台しか稼働していなくて、昼時は長い列ができる。改善してほしい。,40代
R200,S142,2024-02-09,2,接客態度がよくない。挨拶がないし、レジ対応も雑に感じることがある。,30代
R201,S387,2024-09-27,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,20代
R202,S407,2024-05-29,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,30代
R203,S032,2025-11-25,2,夕方になると弁当がほとんど品切れになっている。補充が追いついていない感じがする。,30代
R204,S219,2024-05-12,3,立地は便利だけど、品揃えがもう少し充実してほしい。特にパンの種類が少ない。,40代
R205,S038,2025-01-22,3,基本的には満足しているが、夜間のスタッフの対応に差がある。研修を強化してほしい。,20代
R206,S218,2025-08-01,1,価格が近隣のコンビニと比べて少し高い印象。もう少し安くしてほしい。,20代
R207,S024,2025-03-10,3,基本的には満足しているが、夜間のスタッフの対応に差がある。研修を強化してほしい。,50代以上
R208,S205,2024-06-25,3,基本的には満足しているが、夜間のスタッフの対応に差がある。研修を強化してほしい。,20代
R209,S017,2025-12-25,4,駅から近くて便利です。通勤途中に毎日寄っています。,40代
R210,S133,2024-12-16,2,Wi-Fiがないのが不便。休憩で使いたいのに。近くの他のコンビニにはあるのに。,20代
R211,S305,2025-06-19,1,駐車場がないので車で行けません。周辺にコインパーキングもなく不便です。,20代
R212,S074,2025-02-17,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,40代
R213,S270,2024-05-10,1,照明が暗くて、特に夜は入りづらい雰囲気がある。防犯面でも心配です。,30代
R214,S041,2024-08-31,1,接客態度がよくない。挨拶がないし、レジ対応も雑に感じることがある。,40代
R215,S357,2025-01-30,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,20代
R216,S450,2025-08-22,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,30代
R217,S408,2025-11-20,1,夕方になると弁当がほとんど品切れになっている。補充が追いついていない感じがする。,30代
R218,S453,2025-05-04,2,価格が近隣のコンビニと比べて少し高い印象。もう少し安くしてほしい。,20代
R219,S433,2025-03-28,3,立地は便利だけど、品揃えがもう少し充実してほしい。特にパンの種類が少ない。,40代
R220,S463,2025-06-22,2,照明が暗くて、特に夜は入りづらい雰囲気がある。防犯面でも心配です。,20代
R221,S034,2025-03-06,4,駅から近くて便利です。通勤途中に毎日寄っています。,40代
R222,S187,2025-01-18,4,ATMがあるので急にお金が必要な時に助かります。手数料も安いです。,30代
R223,S153,2025-04-13,1,接客態度がよくない。挨拶がないし、レジ対応も雑に感じることがある。,30代
R224,S069,2025-03-31,1,夕方になると弁当がほとんど品切れになっている。補充が追いついていない感じがする。,40代
R225,S479,2024-03-20,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,40代
R226,S049,2024-05-26,4,駅から近くて便利です。通勤途中に毎日寄っています。,30代
R227,S157,2024-05-30,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,30代
R228,S372,2024-09-12,4,コーヒーの品質が良くて、毎朝ここで買っています。コスパも良いです。,20代
R229,S142,2024-01-10,2,駐車場がないので車で行けません。周辺にコインパーキングもなく不便です。,10代
R230,S066,2024-04-01,4,品揃えが豊富で助かっています。特にお弁当の種類が多いのが嬉しいです。,40代
R231,S458,2024-11-15,5,店員さんの対応がとても丁寧です。いつも気持ちよく買い物できます。,40代
R232,S165,2025-06-01,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,20代
R233,S090,2024-10-06,4,店内がいつも清潔で、気持ちよく利用しています。トイレもきれいです。,50代以上
R234,S060,2024-11-15,2,夕方になると弁当がほとんど品切れになっている。補充が追いついていない感じがする。,20代
R235,S397,2025-03-23,3,立地は便利だけど、品揃えがもう少し充実してほしい。特にパンの種類が少ない。,20代
R236,S282,2025-09-06,2,トイレが汚いことが多い。清掃の頻度を上げてほしい。,20代
R237,S192,2024-01-15,5,新商品がいつも早く入荷されるので、新しいもの好きにはたまらない店舗です。,40代
R238,S397,2025-09-21,5,イートインスペースが快適です。ちょっとした休憩に最適です。,10代
R239,S363,2025-09-15,3,コーヒーは美味しいが、フードメニューのバリエーションが少ない。もっと選びたい。,40代
R240,S052,2025-04-20,2,お弁当の消費期限が短い商品が多く、買うタイミングが難しい。,20代
R241,S431,2024-06-27,4,品揃えが豊富で助かっています。特にお弁当の種類が多いのが嬉しいです。,30代
R242,S453,2025-05-10,2,照明が暗くて、特に夜は入りづらい雰囲気がある。防犯面でも心配です。,40代
R243,S046,2024-09-15,5,季節限定のスイーツが毎回楽しみです。特に冬のチョコレート系が美味しいです。,40代
R244,S030,2025-07-10,5,新商品がいつも早く入荷されるので、新しいもの好きにはたまらない店舗です。,20代
R245,S457,2024-06-28,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,20代
R246,S498,2024-05-12,3,立地は便利だけど、品揃えがもう少し充実してほしい。特にパンの種類が少ない。,50代以上
R247,S101,2024-02-21,1,接客態度がよくない。挨拶がないし、レジ対応も雑に感じることがある。,20代
R248,S218,2024-10-26,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,20代
R249,S376,2025-08-21,2,接客態度がよくない。挨拶がないし、レジ対応も雑に感じることがある。,10代
R250,S358,2024-04-12,4,お惣菜のクオリティが高い。手作り感があって、コンビニとは思えない味です。,40代
R251,S245,2024-07-09,3,立地は便利だけど、品揃えがもう少し充実してほしい。特にパンの種類が少ない。,50代以上
R252,S082,2025-09-10,4,おにぎりの品揃えが素晴らしい。特に地域限定の具材が気に入っています。,50代以上
R253,S435,2024-09-30,3,清潔感はあるが、売場のレイアウトが分かりにくい。特に初めて来た人は迷うと思う。,20代
R254,S474,2025-05-19,2,夕方になると弁当がほとんど品切れになっている。補充が追いついていない感じがする。,20代
R255,S050,2025-04-03,2,Wi-Fiがないのが不便。休憩で使いたいのに。近くの他のコンビニにはあるのに。,20代
R256,S481,2024-04-27,4,新商品がいつも早く入荷されるので、新しいもの好きにはたまらない店舗です。,20代
R257,S002,2024-05-28,3,駅前で使いやすいのは良いが、混雑時はレジの回転が悪い。もう1台増やしてほしい。,20代
R258,S305,2024-07-16,2,照明が暗くて、特に夜は入りづらい雰囲気がある。防犯面でも心配です。,20代
R259,S334,2024-11-18,5,駅から近くて便利です。通勤途中に毎日寄っています。,50代以上
R260,S168,2024-12-07,5,コーヒーの品質が良くて、毎朝ここで買っています。コスパも良いです。,30代
R261,S486,2025-03-09,3,立地は便利だけど、品揃えがもう少し充実してほしい。特にパンの種類が少ない。,40代
