transaction_id,transaction_date,product_id,product_name,quantity,unit_price,total_price
R000545,2024-01-18,P026,富士通 ノートパソコン FMV[期間限定],1,80000,80000
R000546,2024-01-18,P051,ユニクロ スウェットパーカー（ネット）,3,2500,7500
R000547,2024-01-18,P038,江崎グリコ ポッキー,4,150,600
R000548,2024-01-18,P065,プラス カラーペンセット［期間限定］,3,250,750
R000549,2024-01-18,P062,パイロット フリクションペン【店頭】,4,130,520
R000550,2024-01-19,P062,パイロット フリクションペン,9,130,1170
R000551,2024-01-19,P011,東芝 REGZA 43S32【店頭】,2,70000,140000
R000552,2024-01-19,P015,森永 エンゼルパイ【店頭】【半額セール】,3,300,900
R000553,2024-01-20,P043,P&G アリエール洗濯洗剤[半額セール],7,800,5600
R000554,2024-01-20,P008,無印良品 オーガニックコットンシャツ【店頭】［期間限定］,1,2500,2500
R000555,2024-01-20,P034,サントリー ザ・プレミアムモルツ【店頭】【半額セール】,7,500,3500
R000556,2024-01-21,P036,ハウス食品 カレールウ,4,300,1200
R000557,2024-01-21,P015,森永 エンゼルパイ[期間限定],10,300,3000
R000558,2024-01-21,P048,花王 ソフィ 洗濯柔軟剤,1,300,300
R000559,2024-01-22,P060,トンボ鉛筆 モノ消しゴム[半額セール],9,100,900
R000560,2024-01-23,P015,森永 エンゼルパイ,9,300,2700
R000561,2024-01-23,P009,パイロット フリクションボールペン（期間限定）,2,100,200
R000562,2024-01-23,P051,ユニクロ スウェットパーカー（期間限定）,1,2500,2500
R000563,2024-01-23,P071,バンダイ デジモンカード,10,500,5000
R000564,2024-01-24,P044,資生堂 TSUBAKIシャンプー【店頭】＜期間限定＞,2,1200,2400
R000565,2024-01-24,P044,資生堂 TSUBAKIシャンプー（期間限定）,1,1200,1200
R000566,2024-01-24,P046,ロート製薬 ムヒ,7,500,3500
R000567,2024-01-24,P001,ソニー BRAVIA KJ-55X9500G【店頭】,1,150000,150000
R000568,2024-01-25,P012,明治 ミルクチョコレート（ネット）,8,150,1200
R000569,2024-01-25,P040,クラシエ サッポロ一番,9,210,1890
R000570,2024-01-26,P046,ロート製薬 ムヒ【店頭】,3,500,1500
R000571,2024-01-26,P036,ハウス食品 カレールウ,6,300,1800
R000572,2024-01-26,P060,トンボ鉛筆 モノ消しゴム＜半額セール＞,9,100,900
R000573,2024-01-27,P023,パナソニック エアコン CS-XE,1,95000,95000
R000574,2024-01-28,P021,東芝 ノンフロン冷蔵庫［期間限定］,1,85000,85000
R000575,2024-01-28,P039,ロッテ ガーナミルクチョコレート＜期間限定＞,2,180,360
R000576,2024-01-28,P005,キリン 一番搾りビール【店頭】＜期間限定＞,5,400,2000
R000577,2024-01-29,P038,江崎グリコ ポッキー［期間限定］,5,150,750
R000578,2024-01-29,P009,パイロット フリクションボールペン［期間限定］,2,100,200
R000579,2024-01-30,P048,花王 ソフィ 洗濯柔軟剤＜期間限定＞,1,300,300
R000580,2024-01-31,P079,パナソニック 電子レンジ,3,15000,45000
R000581,2024-02-01,P044,資生堂 TSUBAKIシャンプー（期間限定）,2,1200,2400
R000582,2024-02-01,P048,花王 ソフィ 洗濯柔軟剤【閉店セール】,1,300,300
R000583,2024-02-02,P033,日清 どん兵衛［期間限定］,5,220,1100
R000584,2024-02-02,P044,資生堂 TSUBAKIシャンプー【店頭】＜期間限定＞,3,1200,3600
R000585,2024-02-02,P040,クラシエ サッポロ一番［期間限定］,2,210,420
R000586,2024-02-02,P048,花王 ソフィ 洗濯柔軟剤［期間限定］,10,300,3000
R000587,2024-02-03,P045,大正製薬 サロンパス【店頭】＜半額セール＞,2,400,800
R000588,2024-02-04,P048,花王 ソフィ 洗濯柔軟剤（ネット）,7,300,2100
R000589,2024-02-04,P051,ユニクロ スウェットパーカー,4,2500,10000
R000590,2024-02-04,P048,花王 ソフィ 洗濯柔軟剤,7,300,2100
R000591,2024-02-05,P070,バンダイ トランスフォーマー【期間限定】,3,3500,10500
R000592,2024-02-05,P049,ユニクロ ジーンズ【店頭】＜期間限定＞,2,3000,6000
R000593,2024-02-05,P085,日立 炊飯器 RZ-Mシリーズ【半額セール】,1,30000,30000
R000594,2024-02-05,P065,プラス カラーペンセット【店頭】＜期間限定＞,5,250,1250
R000595,2024-02-06,P051,ユニクロ スウェットパーカー【期間限定】,3,2500,7500
R000596,2024-02-06,P051,ユニクロ スウェットパーカー[半額セール],3,2500,7500
R000597,2024-02-06,P077,シャープ スマートウォッチ＜半額セール＞,1,18000,18000
R000598,2024-02-06,P043,P&G アリエール洗濯洗剤,5,800,4000
R000599,2024-02-07,P071,バンダイ デジモンカード【店頭】［期間限定］,10,500,5000
R000600,2024-02-07,P062,パイロット フリクションペン【店頭】【半額セール】,8,130,1040
R000601,2024-02-08,P043,P&G アリエール洗濯洗剤,2,800,1600
R000602,2024-02-08,P021,東芝 ノンフロン冷蔵庫（期間限定）,1,85000,85000
R000603,2024-02-08,P026,富士通 ノートパソコン FMV＜期間限定＞,1,80000,80000
R000604,2024-02-08,P038,江崎グリコ ポッキー,1,150,150
R000605,2024-02-09,P059,ゼブラ マイルドライナー【店頭】,10,180,1800
R000606,2024-02-10,P059,ゼブラ マイルドライナー【期間限定】,7,180,1260
R000607,2024-02-11,P100,京セラ TASKalfa 2552ci（期間限定）,1,250000,250000
R000608,2024-02-12,P015,森永 エンゼルパイ（ネット）,1,300,300
R000609,2024-02-12,P053,ユニクロ ストレッチジャケット【店頭】［期間限定］,1,3500,3500
R000610,2024-02-12,P006,花王 アタック洗剤,9,800,7200
R000611,2024-02-12,P042,ユニ・チャーム ソフィ,8,350,2800
R000612,2024-02-13,P063,ぺんてる シャープペンシル【店頭】＜期間限定＞,9,160,1440
R000613,2024-02-14,P062,パイロット フリクションペン（半額セール）,10,130,1300
R000614,2024-02-14,P010,タカラトミー ガンダムフィギュア,2,3000,6000
R000615,2024-02-14,P059,ゼブラ マイルドライナー,8,180,1440
R000616,2024-02-14,P037,マルちゃん 正麺【店頭】【半額セール】,5,250,1250
R000617,2024-02-14,P018,シャープ 加湿器 HX-50【半額セール】,1,15000,15000
R000618,2024-02-15,P013,ライオン レノアハピネス【店頭】,5,500,2500
R000619,2024-02-15,P005,キリン 一番搾りビール,3,400,1200
R000620,2024-02-16,P088,任天堂 SWITCH,1,40000,40000
R000621,2024-02-18,P008,無印良品 オーガニックコットンシャツ（半額セール）,2,2500,5000
R000622,2024-02-18,P034,サントリー ザ・プレミアムモルツ【閉店セール】,4,500,2000
R000623,2024-02-18,P074,バンダイ ミニ四駆,5,2000,10000
R000624,2024-02-18,P069,タカラトミー トミカ,2,1500,3000
R000625,2024-02-18,P045,大正製薬 サロンパス（半額セール）,5,400,2000
R000626,2024-02-19,P070,バンダイ トランスフォーマー（期間限定）,3,3500,10500
R000627,2024-02-20,P065,プラス カラーペンセット,4,250,1000
R000628,2024-02-22,P064,クラフトマン ボールペン【閉店セール】,1,150,150
R000629,2024-02-22,P041,カゴメ トマトジュース＜半額セール＞,8,180,1440
R000630,2024-02-22,P055,無印良品 シンプルワンピース【店頭】,2,4000,8000
R000631,2024-02-23,P085,日立 炊飯器 RZ-Mシリーズ[半額セール],1,30000,30000
R000632,2024-02-23,P006,花王 アタック洗剤【期間限定】,5,800,4000
R000633,2024-02-23,P058,コクヨ キャンパスノート【閉店セール】,6,200,1200
R000634,2024-02-24,P012,明治 ミルクチョコレート,7,150,1050
R000635,2024-02-24,P044,資生堂 TSUBAKIシャンプー[期間限定],2,1200,2400
R000636,2024-02-24,P044,資生堂 TSUBAKIシャンプー,1,1200,1200
R000637,2024-02-25,P011,東芝 REGZA 43S32,1,70000,70000
R000638,2024-02-26,P037,マルちゃん 正麺＜期間限定＞,4,250,1000
R000639,2024-02-26,P033,日清 どん兵衛（ネット）,3,220,660
R000640,2024-02-26,P073,タカラトミー ウルトラマンフィギュア［期間限定］,5,3000,15000
R000641,2024-02-26,P051,ユニクロ スウェットパーカー（ネット）,1,2500,2500
R000642,2024-02-26,P040,クラシエ サッポロ一番,5,210,1050
R000643,2024-02-26,P039,ロッテ ガーナミルクチョコレート【閉店セール】,5,180,900
R000644,2024-02-26,P008,無印良品 オーガニックコットンシャツ,5,2500,12500
R000645,2024-02-27,P075,ソニー ワイヤレススピーカー SRS-XB12（ネット）,3,8000,24000
R000646,2024-02-27,P089,マイクロソフト Xbox Series X（ネット）,1,55000,55000
R000647,2024-02-28,P074,バンダイ ミニ四駆（半額セール）,3,2000,6000
R000648,2024-02-28,P020,パナソニック 掃除機 MC-CL883【店頭】＜期間限定＞,1,75000,75000
R000649,2024-02-28,P015,森永 エンゼルパイ（ネット）,7,300,2100
R000650,2024-02-28,P057,三菱鉛筆 ユニ【店頭】［期間限定］,6,120,720
R000651,2024-02-28,P095,オリンパス PEN-F,1,140000,140000
R000652,2024-02-28,P063,ぺんてる シャープペンシル【店頭】【半額セール】,5,160,800
R000653,2024-02-29,P064,クラフトマン ボールペン［期間限定］,7,150,1050
R000654,2024-02-29,P012,明治 ミルクチョコレート【店頭】,4,150,600
R000655,2024-02-29,P012,明治 ミルクチョコレート,8,150,1200
R000656,2024-02-29,P063,ぺんてる シャープペンシル【閉店セール】,10,160,1600
R000657,2024-02-29,P037,マルちゃん 正麺【店頭】＜期間限定＞,1,250,250
R000658,2024-02-29,P005,キリン 一番搾りビール,8,400,3200
R000659,2024-03-01,P033,日清 どん兵衛,9,220,1980
R000660,2024-03-01,P004,日清 カップヌードル＜期間限定＞,1,200,200
R000661,2024-03-03,P079,パナソニック 電子レンジ＜半額セール＞,2,15000,30000
R000662,2024-03-03,P068,バンダイ 仮面ライダーアクションフィギュア【店頭】＜期間限定＞,1,3200,3200
R000663,2024-03-04,P006,花王 アタック洗剤,1,800,800
R000664,2024-03-04,P060,トンボ鉛筆 モノ消しゴム【閉店セール】,2,100,200
R000665,2024-03-04,P057,三菱鉛筆 ユニ[期間限定],2,120,240
R000666,2024-03-06,P034,サントリー ザ・プレミアムモルツ【半額セール】,3,500,1500
R000667,2024-03-06,P046,ロート製薬 ムヒ,4,500,2000
R000668,2024-03-07,P049,ユニクロ ジーンズ（期間限定）,3,3000,9000
R000669,2024-03-07,P063,ぺんてる シャープペンシル【店頭】［期間限定］,7,160,1120
R000670,2024-03-07,P040,クラシエ サッポロ一番【半額セール】,10,210,2100
R000671,2024-03-07,P066,タカラトミー プラレール（ネット）,3,2800,8400
R000672,2024-03-07,P040,クラシエ サッポロ一番,4,210,840
R000673,2024-03-08,P044,資生堂 TSUBAKIシャンプー,1,1200,1200
R000674,2024-03-08,P041,カゴメ トマトジュース,3,180,540
R000675,2024-03-08,P056,パイロット G2 ジェルペン[期間限定],10,150,1500
R000676,2024-03-08,P009,パイロット フリクションボールペン【店頭】［期間限定］,5,100,500
R000677,2024-03-08,P039,ロッテ ガーナミルクチョコレート【期間限定】,4,180,720
R000678,2024-03-08,P053,ユニクロ ストレッチジャケット,1,3500,3500
R000679,2024-03-09,P033,日清 どん兵衛【店頭】,5,220,1100
R000680,2024-03-09,P033,日清 どん兵衛【半額セール】,3,220,660
R000681,2024-03-09,P060,トンボ鉛筆 モノ消しゴム【半額セール】,2,100,200
R000682,2024-03-09,P091,シャープ スマートフォン AQUOS R6,1,70000,70000
R000683,2024-03-09,P071,バンダイ デジモンカード[期間限定],8,500,4000
R000684,2024-03-09,P057,三菱鉛筆 ユニ＜半額セール＞,6,120,720
R000685,2024-03-10,P004,日清 カップヌードル＜半額セール＞,4,200,800
R000686,2024-03-10,P026,富士通 ノートパソコン FMV[半額セール],1,80000,80000
R000687,2024-03-10,P056,パイロット G2 ジェルペン［期間限定］,9,150,1350
R000688,2024-03-10,P004,日清 カップヌードル【店頭】【半額セール】,10,200,2000
R000689,2024-03-10,P004,日清 カップヌードル【店頭】＜期間限定＞,8,200,1600
R000690,2024-03-10,P009,パイロット フリクションボールペン【店頭】＜期間限定＞,2,100,200
R000691,2024-03-11,P055,無印良品 シンプルワンピース,3,4000,12000
R000692,2024-03-11,P050,無印良品 ウールブレンドコート【店頭】［期間限定］,4,5000,20000
R000693,2024-03-11,P048,花王 ソフィ 洗濯柔軟剤,6,300,1800
R000694,2024-03-12,P039,ロッテ ガーナミルクチョコレート＜半額セール＞,7,180,1260
R000695,2024-03-12,P017,パナソニック 4Kプロジェクター[期間限定],2,130000,260000
R000696,2024-03-12,P012,明治 ミルクチョコレート【店頭】【半額セール】,9,150,1350
R000697,2024-03-12,P018,シャープ 加湿器 HX-50,1,15000,15000
R000698,2024-03-13,P047,カネボウ ハンドクリーム,9,700,6300
R000699,2024-03-14,P035,ヤクルト 1000【店頭】【半額セール】,8,250,2000
R000700,2024-03-14,P042,ユニ・チャーム ソフィ（期間限定）,1,350,350
R000701,2024-03-15,P096,ニコン Z6 II（半額セール）,1,200000,200000
R000702,2024-03-15,P005,キリン 一番搾りビール（ネット）,4,400,1600
R000703,2024-03-16,P062,パイロット フリクションペン＜期間限定＞,2,130,260
R000704,2024-03-16,P061,Pentel EnerGel［期間限定］,5,180,900
R000705,2024-03-16,P008,無印良品 オーガニックコットンシャツ（期間限定）,4,2500,10000
R000706,2024-03-16,P059,ゼブラ マイルドライナー,9,180,1620
R000707,2024-03-16,P013,ライオン レノアハピネス＜期間限定＞,10,500,5000
R000708,2024-03-17,P038,江崎グリコ ポッキー（半額セール）,5,150,750
R000709,2024-03-17,P039,ロッテ ガーナミルクチョコレート,9,180,1620
R000710,2024-03-17,P005,キリン 一番搾りビール【店頭】【半額セール】,5,400,2000
R000711,2024-03-18,P033,日清 どん兵衛【店頭】＜半額セール＞,8,220,1760
R000712,2024-03-18,P035,ヤクルト 1000【閉店セール】,9,250,2250
R000713,2024-03-18,P059,ゼブラ マイルドライナー（期間限定）,6,180,1080
R000714,2024-03-18,P067,バンダイ たまごっち（半額セール）,2,1200,2400
R000715,2024-03-18,P048,花王 ソフィ 洗濯柔軟剤【閉店セール】,6,300,1800
R000716,2024-03-19,P051,ユニクロ スウェットパーカー＜期間限定＞,5,2500,12500
R000717,2024-03-19,P059,ゼブラ マイルドライナー,1,180,180
R000718,2024-03-20,P030,エプソン エコタンク ET-2750,1,35000,35000
R000719,2024-03-20,P061,Pentel EnerGel【店頭】［期間限定］,2,180,360
R000720,2024-03-21,P033,日清 どん兵衛＜期間限定＞,3,220,660
R000721,2024-03-22,P041,カゴメ トマトジュース［期間限定］,8,180,1440
R000722,2024-03-23,P038,江崎グリコ ポッキー【店頭】,10,150,1500
R000723,2024-03-23,P033,日清 どん兵衛【店頭】＜期間限定＞,9,220,1980
R000724,2024-03-23,P018,シャープ 加湿器 HX-50[期間限定],2,15000,30000
R000725,2024-03-23,P079,パナソニック 電子レンジ【半額セール】,1,15000,15000
R000726,2024-03-23,P005,キリン 一番搾りビール（ネット）,2,400,800
R000727,2024-03-23,P076,パナソニック ポータブルスピーカー,3,6000,18000
R000728,2024-03-24,P042,ユニ・チャーム ソフィ[期間限定],5,350,1750
R000729,2024-03-24,P013,ライオン レノアハピネス,1,500,500
R000730,2024-03-24,P054,GU Tシャツ,2,1200,2400
R000731,2024-03-24,P055,無印良品 シンプルワンピース[半額セール],2,4000,8000
R000732,2024-03-24,P046,ロート製薬 ムヒ【閉店セール】,2,500,1000
R000733,2024-03-24,P080,ソニー ブルーレイプレーヤー＜期間限定＞,2,12000,24000
R000734,2024-03-25,P009,パイロット フリクションボールペン【店頭】［期間限定］,8,100,800
R000735,2024-03-25,P041,カゴメ トマトジュース【店頭】［期間限定］,1,180,180
R000736,2024-03-25,P035,ヤクルト 1000,9,250,2250
R000737,2024-03-26,P062,パイロット フリクションペン【半額セール】,6,130,780
R000738,2024-03-26,P080,ソニー ブルーレイプレーヤー【店頭】［期間限定］,3,12000,36000
R000739,2024-03-27,P042,ユニ・チャーム ソフィ【店頭】【半額セール】,4,350,1400
R000740,2024-03-29,P034,サントリー ザ・プレミアムモルツ【店頭】＜半額セール＞,4,500,2000
R000741,2024-03-29,P069,タカラトミー トミカ＜半額セール＞,1,1500,1500
R000742,2024-03-31,P019,ソニー ワイヤレスヘッドホン WH-1000XM4,1,90000,90000
R000743,2024-03-31,P082,東芝 LEDテレビ 55型【店頭】【半額セール】,1,70000,70000
R000744,2024-04-01,P064,クラフトマン ボールペン【店頭】＜半額セール＞,10,150,1500
R000745,2024-04-02,P044,資生堂 TSUBAKIシャンプー【店頭】＜期間限定＞,3,1200,3600
R000746,2024-04-02,P062,パイロット フリクションペン【店頭】［期間限定］,2,130,260
R000747,2024-04-03,P085,日立 炊飯器 RZ-Mシリーズ,2,30000,60000
R000748,2024-04-03,P004,日清 カップヌードル【店頭】【半額セール】,1,200,200
R000749,2024-04-03,P009,パイロット フリクションボールペン,2,100,200
R000750,2024-04-04,P181,ステンレスストロー 8本セット（半額セール）,1,1280,1280
R000751,2024-04-04,P046,ロート製薬 ムヒ【店頭】【半額セール】,7,500,3500
R000752,2024-04-04,P124,味の素 アミノバイタル プロ 30本,5,3680,18400
R000753,2024-04-05,P104,iRobot ルンバ i5 ロボット掃除機（期間限定）,1,49800,49800
R000754,2024-04-05,P104,iRobot ルンバ i5 ロボット掃除機【店頭】＜半額セール＞,1,49800,49800
R000755,2024-04-05,P042,ユニ・チャーム ソフィ,7,350,2450
R000756,2024-04-05,P036,ハウス食品 カレールウ,8,300,2400
R000757,2024-04-06,P053,ユニクロ ストレッチジャケット＜半額セール＞,3,3500,10500
R000758,2024-04-06,P013,ライオン レノアハピネス,6,500,3000
R000759,2024-04-07,P039,ロッテ ガーナミルクチョコレート,10,180,1800
R000760,2024-04-07,P190,本の定期便 月2冊,1,2980,2980
R000761,2024-04-08,P064,クラフトマン ボールペン＜半額セール＞,6,150,900
R000762,2024-04-08,P068,バンダイ 仮面ライダーアクションフィギュア,4,3200,12800
R000763,2024-04-08,P044,資生堂 TSUBAKIシャンプー（ネット）,2,1200,2400
R000764,2024-04-09,P009,パイロット フリクションボールペン,3,100,300
R000765,2024-04-09,P059,ゼブラ マイルドライナー[半額セール],10,180,1800
R000766,2024-04-09,P066,タカラトミー プラレール（ネット）,1,2800,2800
R000767,2024-04-09,P045,大正製薬 サロンパス【店頭】＜半額セール＞,8,400,3200
R000768,2024-04-10,P168,宮崎県産 完熟マンゴー 2個（期間限定）,2,7800,15600
R000769,2024-04-10,P047,カネボウ ハンドクリーム＜半額セール＞,9,700,6300
R000770,2024-04-10,P042,ユニ・チャーム ソフィ（半額セール）,8,350,2800
R000771,2024-04-10,P044,資生堂 TSUBAKIシャンプー【店頭】,2,1200,2400
R000772,2024-04-11,P039,ロッテ ガーナミルクチョコレート【店頭】,6,180,1080
R000773,2024-04-11,P040,クラシエ サッポロ一番【店頭】＜期間限定＞,5,210,1050
R000774,2024-04-12,P115,パナソニック 目もとエステ【店頭】［期間限定］,3,15800,47400
R000775,2024-04-12,P172,三陸産 生ウニ 100g,3,5980,17940
R000776,2024-04-12,P006,花王 アタック洗剤【期間限定】,9,800,7200
R000777,2024-04-12,P129,象印 ホットプレート やきやき,1,12800,12800
R000778,2024-04-12,P031,リコー IM C200（ネット）,2,40000,80000
R000779,2024-04-13,P018,シャープ 加湿器 HX-50【店頭】＜半額セール＞,1,15000,15000
R000780,2024-04-13,P044,資生堂 TSUBAKIシャンプー【店頭】,3,1200,3600
R000781,2024-04-14,P044,資生堂 TSUBAKIシャンプー,1,1200,1200
R000782,2024-04-15,P106,SwitchBot カーテン自動開閉【店頭】＜期間限定＞,4,7980,31920
R000783,2024-04-15,P036,ハウス食品 カレールウ（半額セール）,7,300,2100
R000784,2024-04-15,P015,森永 エンゼルパイ【店頭】＜半額セール＞,5,300,1500
R000785,2024-04-16,P040,クラシエ サッポロ一番＜期間限定＞,10,210,2100
R000786,2024-04-17,P156,コンビ チャイルドシート クルムーヴ,1,38800,38800
R000787,2024-04-17,P192,ワイン頒布会 赤白2本セット（期間限定）,2,6800,13600
R000788,2024-04-18,P128,ティファール 電気ケトル 1.2L＜半額セール＞,4,4980,19920
R000789,2024-04-18,P068,バンダイ 仮面ライダーアクションフィギュア,1,3200,3200
R000790,2024-04-18,P079,パナソニック 電子レンジ[半額セール],3,15000,45000
R000791,2024-04-19,P034,サントリー ザ・プレミアムモルツ【店頭】,10,500,5000
R000792,2024-04-20,P033,日清 どん兵衛,1,220,220
R000793,2024-04-20,P174,無印良品風 トラベルポーチ 3点セット【店頭】＜期間限定＞,1,2480,2480
R000794,2024-04-21,P004,日清 カップヌードル【店頭】＜期間限定＞,6,200,1200
R000795,2024-04-21,P196,TONE 工具セット 56点＜期間限定＞,1,14800,14800
R000796,2024-04-21,P004,日清 カップヌードル,10,200,2000
R000797,2024-04-21,P040,クラシエ サッポロ一番（半額セール）,5,210,1050
R000798,2024-04-22,P160,西松屋 ベビーバスチェア【期間限定】,3,2480,7440
R000799,2024-04-22,P167,新潟県魚沼産コシヒカリ 5kg【半額セール】,1,3980,3980
R000800,2024-04-22,P153,コンビ ベビーカー スゴカルα（期間限定）,1,39800,39800
R000801,2024-04-22,P121,明治 アミノコラーゲン 200g,5,2480,12400
R000802,2024-04-22,P054,GU Tシャツ,2,1200,2400
R000803,2024-04-24,P006,花王 アタック洗剤,5,800,4000
R000804,2024-04-24,P033,日清 どん兵衛（半額セール）,1,220,220
R000805,2024-04-24,P044,資生堂 TSUBAKIシャンプー（期間限定）,1,1200,1200
R000806,2024-04-24,P167,新潟県魚沼産コシヒカリ 5kg【店頭】＜半額セール＞,2,3980,7960
R000807,2024-04-24,P012,明治 ミルクチョコレート[期間限定],7,150,1050
R000808,2024-04-25,P135,アシックス ランニングシューズ GEL-KAYANO【店頭】＜期間限定＞,1,15800,15800
R000809,2024-04-25,P128,ティファール 電気ケトル 1.2L（半額セール）,2,4980,9960
R000810,2024-04-25,P071,バンダイ デジモンカード【店頭】＜期間限定＞,2,500,1000
R000811,2024-04-25,P040,クラシエ サッポロ一番【店頭】＜半額セール＞,10,210,2100
R000812,2024-04-26,P047,カネボウ ハンドクリーム（期間限定）,7,700,4900
R000813,2024-04-26,P135,アシックス ランニングシューズ GEL-KAYANO【閉店セール】,1,15800,15800
R000814,2024-04-26,P080,ソニー ブルーレイプレーヤー,2,12000,24000
R000815,2024-04-26,P037,マルちゃん 正麺（ネット）,2,250,500
R000816,2024-04-26,P174,無印良品風 トラベルポーチ 3点セット【店頭】＜半額セール＞,2,2480,4960
R000817,2024-04-26,P092,ソニー デジタル一眼レフ α7R IV＜期間限定＞,1,250000,250000
R000818,2024-04-26,P057,三菱鉛筆 ユニ,2,120,240
R000819,2024-04-26,P007,ユニクロ ヒートテックTシャツ,1,1500,1500
R000820,2024-04-27,P034,サントリー ザ・プレミアムモルツ【店頭】【半額セール】,3,500,1500
R000821,2024-04-27,P146,花王 ニャンとも清潔トイレセット【店頭】［期間限定］,3,3980,11940
R000822,2024-04-27,P193,マキタ 充電式電動ドライバー【店頭】＜期間限定＞,3,9800,29400
R000823,2024-04-27,P075,ソニー ワイヤレススピーカー SRS-XB12,1,8000,8000
R000824,2024-04-28,P141,モンベル トレッキングポール[期間限定],3,6980,20940
R000825,2024-04-28,P093,キヤノン EOS 90D【店頭】［期間限定］,1,150000,150000
R000826,2024-04-28,P041,カゴメ トマトジュース【半額セール】,1,180,180
R000827,2024-04-29,P035,ヤクルト 1000【閉店セール】,2,250,500
R000828,2024-04-29,P152,GEX ハムスターケージ[期間限定],2,4980,9960
R000829,2024-04-29,P139,カリマー 登山リュック 30L【期間限定】,3,18800,56400
R000830,2024-04-29,P085,日立 炊飯器 RZ-Mシリーズ[期間限定],2,30000,60000
R000831,2024-04-30,P140,アディダス スポーツウェア 上下セット【店頭】＜期間限定＞,1,8980,8980
R000832,2024-04-30,P043,P&G アリエール洗濯洗剤[期間限定],9,800,7200
R000833,2024-04-30,P059,ゼブラ マイルドライナー[半額セール],8,180,1440
R000834,2024-05-01,P170,京都宇治 抹茶スイーツ詰め合わせ＜期間限定＞,1,3200,3200
R000835,2024-05-02,P110,フィリップス ソニッケアー 電動歯ブラシ,1,8980,8980
R000836,2024-05-03,P034,サントリー ザ・プレミアムモルツ,8,500,4000
